,_id,contracts,contracts.dateSigned,contracts.period.endDate,contracts.period.startDate,contracts.status
7054,5bf8018b5fb2add4506e0224,,2018-11-22T17:11:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,pending
7055,5bf8018b5fb2add4506e0231,,2018-11-21T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-21T00:00:00+02:00,active
7056,5bf8018a5fb2add4506e01ca,,,,,
7057,5bf8018a5fb2add4506e01ba,,2018-11-22T17:08:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7058,5bf8018a5fb2add4506e01be,,,,,
7059,5bf801895fb2add4506e0183,,,,,
7060,5bf8018b5fb2add4506e022d,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
7061,5bf801895fb2add4506e0193,,,,,
7062,5bf8018b5fb2add4506e0245,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
7063,5bf8018a5fb2add4506e01bb,,2018-11-22T16:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7064,5bf8018b5fb2add4506e0239,,2018-11-21T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-21T00:00:00+02:00,active
